Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-1,2021-04-13,2023-08-14,Standard Class,CUST-5510,Rahul,Corporate,India,Delhi,WB,North,PROD-420,Office Supplies,Chairs,Item A,1084.46,6,,-18.78
ORD-2,2022-03-12,2021-10-08,Standard Class,CUST-1393,Rahul,Corporate,India,Mumbai,WB,East,PROD-441,Technology,Binders,Item C,4576.87,2,0.46,-1274.67
ORD-3,2023-05-11,2021-09-10,Standard Class,CUST-9005,Amit,Consumer,India,Bangalore,MH,South,PROD-127,Office Supplies,Storage,Item C,764.96,8,0.31,-74.58
ORD-4,2021-09-28,2021-11-08,First Class,CUST-4686,Arjun,Consumer,India,Kolkata,DL,North,PROD-413,Office Supplies,Phones,Item D,1522.06,4,0.02,134.9
ORD-5,2021-04-17,2022-12-23,First Class,CUST-1357,Sneha,Home Office,India,Kolkata,DL,East,PROD-314,Furniture,Chairs,Item B,1060.52,6,0.41,-276.86
ORD-6,2021-03-13,2023-04-15,Standard Class,CUST-5004,Rahul,Corporate,India,,WB,North,PROD-117,Furniture,Binders,Item D,2850.86,2,0.49,-754.87
ORD-7,2022-12-02,2021-05-22,First Class,CUST-2181,Priya,Consumer,India,Mumbai,WB,South,PROD-209,Furniture,Chairs,Item C,2072.77,6,0.21,-77.33
ORD-8,2021-01-21,2023-03-05,Second Class,CUST-7817,Neha,Consumer,India,Bangalore,DL,North,PROD-732,Office Supplies,Chairs,Item D,1471.47,2,0.38,-202.02
ORD-9,2022-09-07,2022-07-02,Standard Class,CUST-3065,Priya,Corporate,India,Delhi,WB,West,PROD-592,Furniture,Binders,Item C,3851.24,1,0.36,-522.8
ORD-10,2021-05-02,2023-04-03,Standard Class,CUST-7871,Rahul,Consumer,India,Kolkata,DL,South,PROD-911,Technology,Phones,Item A,3337.38,5,0.2,42.39
ORD-11,2022-04-12,2023-06-25,Second Class,CUST-4129,Rahul,Corporate,India,Mumbai,DL,West,PROD-675,Technology,Binders,Item B,4977.78,4,0.23,-103.9
ORD-12,2021-08-03,2022-06-16,Second Class,CUST-1154,Amit,Consumer,India,,KA,East,PROD-648,Office Supplies,Storage,Item C,1594.34,4,0.31,-287.13
ORD-13,2021-11-27,2021-02-28,First Class,CUST-9678,Priya,Corporate,India,Bangalore,WB,North,PROD-614,Office Supplies,Binders,Item C,4234.14,1,0.09,464.87
ORD-14,2022-04-04,2021-04-24,Second Class,CUST-7294,Amit,Corporate,India,Bangalore,MH,South,PROD-369,Furniture,Chairs,Item B,1547.41,9,,-95.23
ORD-15,2021-03-29,2021-01-07,Standard Class,CUST-3415,Sneha,Consumer,India,Kolkata,DL,East,PROD-234,Technology,Phones,Item A,94.73,8,0.17,-25.08
ORD-16,2022-01-08,2022-02-16,First Class,CUST-2070,Priya,Corporate,India,Kolkata,WB,West,PROD-611,Furniture,Binders,Item A,796.94,1,,172.13
ORD-17,2021-04-10,2022-02-20,Second Class,CUST-3254,Arjun,Home Office,India,Kolkata,WB,West,PROD-500,Furniture,Storage,Item D,2566.93,5,0.1,300.28
ORD-18,2023-05-22,2021-07-03,First Class,CUST-9042,Sneha,Home Office,India,Kolkata,WB,West,PROD-594,Furniture,Phones,Item A,4059.55,9,0.25,-240.46
ORD-19,2022-10-26,2021-01-15,First Class,CUST-8807,Arjun,Corporate,India,Bangalore,DL,West,PROD-182,Furniture,Chairs,Item C,334.19,1,0.45,-132.45
ORD-20,2021-05-11,2021-12-07,First Class,CUST-7840,Priya,Home Office,India,Mumbai,DL,East,PROD-818,Technology,Binders,Item C,4168.47,3,0.43,-1037.76
ORD-21,2022-10-24,2023-03-10,First Class,CUST-7713,Amit,Consumer,India,Kolkata,DL,North,PROD-778,Furniture,Phones,Item D,3594.57,4,0.46,-900.78
ORD-22,2021-11-05,2021-09-18,Second Class,CUST-3190,Arjun,Consumer,India,Mumbai,WB,East,PROD-744,Technology,Phones,Item B,220.87,2,0.12,-17.4
ORD-23,2023-02-09,2021-04-02,Standard Class,CUST-8264,Rahul,Corporate,India,Kolkata,MH,North,PROD-178,Technology,Chairs,Item C,,9,0.41,-110.74
ORD-24,2021-12-10,2022-09-10,Standard Class,CUST-9382,Neha,Consumer,India,,KA,South,PROD-407,Office Supplies,Phones,Item A,424.37,1,0.17,-27.19
ORD-25,2022-05-07,2023-06-12,Second Class,CUST-9331,Amit,Consumer,India,Mumbai,MH,West,PROD-720,Furniture,Phones,Item A,3411.02,4,0.48,-972.63
ORD-26,2022-02-18,2022-12-01,Standard Class,CUST-8398,Sneha,Home Office,India,Delhi,DL,East,PROD-125,Office Supplies,Storage,Item C,2827.1,3,0.13,216.63
ORD-27,2023-03-17,2021-09-09,First Class,CUST-3972,Sneha,Consumer,India,,DL,South,PROD-266,Office Supplies,Phones,Item C,1826.35,9,0.17,135.6
ORD-28,2022-01-21,2021-09-14,First Class,CUST-2514,Priya,Consumer,India,Delhi,DL,North,PROD-784,Office Supplies,Binders,Item A,487.14,3,0.0,50.33
ORD-29,2021-07-11,2022-08-13,First Class,CUST-4970,Sneha,Home Office,India,Bangalore,MH,South,PROD-944,Technology,Storage,Item D,1995.26,7,0.46,-566.59
ORD-30,2023-08-14,2023-06-19,Second Class,CUST-5719,Neha,Corporate,India,Kolkata,MH,South,PROD-642,Furniture,Storage,Item C,3426.76,2,0.31,-407.43
ORD-31,2021-10-04,2023-08-31,First Class,CUST-2345,Neha,Corporate,India,Bangalore,DL,North,PROD-560,Office Supplies,Binders,Item C,512.39,8,0.16,34.37
ORD-32,2021-06-10,2021-04-20,First Class,CUST-2917,Rahul,Home Office,India,Kolkata,KA,South,PROD-250,Technology,Storage,Item B,4290.1,2,0.07,585.52
ORD-33,2022-04-05,2022-11-01,Second Class,CUST-8641,Sneha,Home Office,India,Kolkata,KA,West,PROD-139,Office Supplies,Chairs,Item D,361.4,9,0.32,-48.89
ORD-34,2021-11-10,2022-08-19,First Class,CUST-9644,Amit,Consumer,India,Kolkata,WB,North,PROD-899,Technology,Chairs,Item B,3060.56,9,0.05,457.32
ORD-35,2021-01-22,2022-08-14,First Class,CUST-2611,Neha,Consumer,India,,MH,North,PROD-968,Technology,Binders,Item C,986.28,9,0.07,
ORD-36,2021-09-10,2022-05-02,Standard Class,CUST-3078,Amit,Corporate,India,Kolkata,KA,East,PROD-871,Technology,Phones,Item A,503.62,6,0.25,-52.59
ORD-37,2023-01-18,2023-09-11,Second Class,CUST-3064,Rahul,Corporate,India,Delhi,DL,South,PROD-692,Technology,Storage,Item A,1807.11,7,0.07,219.16
ORD-38,2023-05-07,2023-09-01,First Class,CUST-8379,Priya,Home Office,India,Delhi,MH,West,PROD-439,Furniture,Binders,Item C,3351.29,4,,502.86
ORD-39,2022-07-15,2021-09-17,First Class,CUST-6779,Neha,Consumer,India,Kolkata,WB,West,PROD-273,Technology,Storage,Item C,649.21,2,0.35,-218.37
ORD-40,2022-04-20,2022-10-03,First Class,CUST-8150,Neha,Home Office,India,Kolkata,WB,North,PROD-686,Office Supplies,Chairs,Item B,2404.7,3,0.23,-25.63
ORD-41,2021-02-28,2023-09-26,First Class,CUST-1353,Neha,Corporate,India,Mumbai,MH,South,PROD-653,Furniture,Chairs,Item A,2060.23,3,0.02,313.22
ORD-42,2022-05-26,2023-06-24,Standard Class,CUST-6718,Sneha,Corporate,India,Bangalore,DL,North,PROD-196,Office Supplies,Binders,Item A,,1,0.02,434.87
ORD-43,2022-11-13,2021-10-11,Standard Class,CUST-4636,Amit,Home Office,India,Mumbai,KA,West,PROD-266,Furniture,Storage,Item B,4719.91,3,0.48,-1299.08
ORD-44,2022-04-21,2023-09-15,Standard Class,CUST-7044,Neha,Consumer,India,Delhi,MH,West,PROD-297,Office Supplies,Chairs,Item D,1777.7,4,0.03,250.85
ORD-45,2022-12-01,2021-03-31,Standard Class,CUST-1711,Amit,Consumer,India,Bangalore,DL,West,PROD-714,Office Supplies,Storage,Item A,4958.56,4,0.22,-170.97
ORD-46,2023-03-09,2021-07-25,Second Class,CUST-5272,Sneha,Home Office,India,Delhi,MH,North,PROD-539,Technology,Chairs,Item B,2715.04,3,0.19,87.16
ORD-47,2023-02-22,2021-01-18,First Class,CUST-2429,Arjun,Corporate,India,Bangalore,WB,South,PROD-658,Office Supplies,Chairs,Item D,4220.28,4,0.25,-194.47
ORD-48,2021-07-09,2021-06-02,Standard Class,CUST-7444,Arjun,Home Office,India,Bangalore,MH,South,PROD-777,Furniture,Chairs,Item A,1776.88,4,0.44,-464.32
